Afrikaans,Category,English_Definition,English_Term,IsiNdebele,IsiXhosa,IsiZulu,Sepedi,Sesotho,Setswana,Siswati,Tshivenda,Xitsonga
Veldwerkpunt,                        Population Census                                 ,"An office or other place from where fieldwork is controlled. At the fieldwork station the boxes of questionnaires are distributed, collected, checked and registered.",Fieldwork station,Isitetjhi somsebenzi wangaphandle,Indawo /isitishi sokusebenzela,Isikhungo sababali babantu,Seteišene sa mošomobaleng,Ofisi e nnyane,Seteišenetsamaiso,Lihhovisi lekusebentela ngaphandle,Tshiṱitshitshimbidzatshumelo,Xitichi xo tirhela
Huishouding,                       Population Census                               ,"A group of persons who live together and provide themselves jointly with food and/or other essentials for living, or a single person who lives alone.",Household,Umuzi; ikhaya,Umzi,Abasekhaya/abekhaya,Lapa,Lelapa,Lelapa,Likhaya,Muṱa/haya,Ndyangu
Huishoudingshoof,                       Population Census                               ,"The main decision-maker, or the person who owns or rents the dwelling, or the person who is the main breadwinner.",Head of the household,Ihloko yekhaya /yomuzi,Intloko yomzi/umninimzi,Inhloko yekhaya/yomuzi,Hlogo ya lapa,Hlooho ya lelapa,Tlhogo ya lelapa,Inhloko yelikhaya,ṱhoho ya muṱa/haya,Nhloko ya ndyangu
"Huishoudingshoof, waarnemend [waarnemende huishoudingshoof]",                       Population Census                               ,Any member of the household acting on behalf of the head of the household.,Acting head of household,Umjaphethe wehloko yekhaya /yomuzi,Ibambela-ntloko yomzi,Ibambanhloko yekhaya/yomuzi,Moswarelahlogo wa lapa,Hlooho ya lelapa; motshwaredi,Kemedi ya tlhogo ya lelapa,"Inhloko yelikhaya, libambela",ṱhohopfareli ya muṱa/haya,"Nhloko ya ndyangu, mukhomeri"
Huishoudelike inkomste (sensus),                       Population Census                               ,Compare household income (household income and expenditure).,Household income (Census),Ingeniso / imali yekhaya (ibalopheleleko),Ingeniso yomzi (uBalo-bantu),Ingeniso/imali engenayo yekhaya (ukubalwa kwabantu),Ditseno tša lapa,Lekeno la lelapa (Palabatho),Lotseno lwa lelapa,Lokungenako kwelikhaya (lubalo),Mbuelo ya muṱa/haya (Mbalavhathu / Sentsasi),Mbuyelo wa ndyangu (nhlayelo wa vanhu)
Gebrek,                        Population Census                                 ,"Loss or deviation of physiological, neurological or anatomical structure or function of an organ or body part. See handicap.",Impairment,Ubuqhwala,Ukulimala / uthinteleko,Ukukhubazeka,Kgolofalo,Kgolofalo,Bogole,Kukhubateka,Vhuholefhali,Vutsoniwa
Intrekker,                        Population Census                                 ,A person who was living in the household at the time of the post-enumeration survey but was not living in the household at the time of the census.,In-mover,Umngezeleli,Umngeneleli,Umuntu ofike sekwabalwa,"Motlamorago ga mmalobatho/palobatho, mofihli",Mofihli,Motlamorago,Lobekangekho,Muḓamurahu ha mbalavhathu,Mutandzhaku
Inwonende huiswerker,                        Population Census                                 ,"See domestic worker, live-in.",Live-in domestic worker,Isisebenzi sekhaya ekuhlalwa naso/esilalako,Umncedisi ohlala apho asebenza khona,Isisebenzi/umsebenzi wasendlini/wasekhaya ohlala khona,Mošomedi wa lapa wa serobalela,Mosebetsi wa lelapa ya dulang moo,Modiredi wa mo gae yo o robalang,Sisebenti sasekhaya lesihlala khona,Mushumi / muthusi wa muṱa /haya mudzulangeo,Mutirhi wa le kaya loyi a tshamaka entirhweni
Vergelyking,                        Population Census                                 ,An operation whereby households and individuals enumerated during a census and a post- enumeration survey are compared for similarities and differences.,Matching,Ukuthomanisa;ukulinganisa,Ukuthelekisa,Ukuqhathanisa,Papetšo/tshwantšhano,Nyalanyo,Tshwantshanyo,Kumatanisa,Mbambedzo,Mfambelaniso
Geen kontak,                        Population Census                                ,"A situation where data collection is incomplete as the enumerator fails to make contact with a household at an address, or an individual in collective living quarters.",Non-contact,Ukungatholakali,Engenalunxibelelwano,Ukungaficwa kwabantu abazobalwa,Go hloka badudi,Ba sa fumanwang,Go sa fitlhelege,"Kungatsintsani, kungachumani",Vhusikwamani,Ku nga tihlanganisangi na ndyangu
Blyer,                        Population Census                                ,A person who was living in the household at the time of the census and at the time of the post-enumeration survey.,Non-mover,Umnzinzi,Isigxina,Ohlal’ekhona,Mosešuthe,Ya teng ka mehla,Monni/modudi,Losolo akhona,Mudzuli,Mutshamandhawuyin’we
Wegtrekker,                        Population Census                                ,A person who was living in the household at the time of the census but was not living in the household at the time of the post-enumeration survey.,Out-mover,Umphunguli,Ongesosigxina,Umuntu ohambe sekwabalwa,Mošuthi,Ya tsamaileng,Mohudugi,Lobekakhona,Muḓaphanḓa ha mbalavhathu,Loyi a fambeke
Dubbeltelling,                        Population Census                                ,The number of persons or households inadvertently counted twice in a census.,Overcount,Ibalodlulileko,Ukugqithisa ukubala,Ukukubalwa kaningi,Palophetišwa,Ya/ba badilweng hangata,Palelophetiso,Kuphindzeka,Mbalakavhili,Nhlayelontluriso
NTO (natellingopname),                        Population Census                               ,See post-enumeration survey.,PES,I-PES,IPES,iPES,PES,PES,TMPB,i-PES,PES,MENV
Geboorteplek,                        Population Census                               ,"For persons born in South Africa, the province where the person was born, according to the present geography. For foreign-born persons, the country where the person was born.",Place of birth,Indawo yamabeletho,Indawo yokuzalwa,Indawo yokuzalwa,Lefelo la tswalo,Sebaka sa tswalo,Lefelobotsalo,"Indzawo lotalelwe kuyo, lawutalelwe khona",Fluṱa/hethu ha mabebo,Ndhawu ya ku velekiwa
Telplek,                        Population Census                               ,"The place where the person was on census night (in a de facto census), whether or not this is his/her usual place of residence.",Place of enumeration,Indawo yokubalela,Indawo yobalo,Indawo umuntu abalelwe kuyo,Lefelo la mmalobatho/palobatho,Sebaka sa ho bala,Lefelo la palobatho,Indzawo lobalelwe kuyo,Fhethu ha mbalavhathu,Ndhawu ya nhlayelo
Gewone woonplek,                        Population Census                               ,The geographical place where the person resides four nights a week on average. Usually collected at subplace level.,Place of usual residence,Indawo ohlala kiyo,Indawo yokuhlala yesiqhelo,Indawo avame ukuhlala kuyo,Lefelo la bodulo la tlwaelo/la ka mehla,Sebaka sa tlwaetso,Bonno ba ka gale,Indzawo lovamisa kuhlala kuyo,Vhudzulo ha misi,Ndhawu laha munhu a talaka ku tshama kona
Bevolkingsensus,                        Population Census                                ,A survey conducted on the whole population.,Population census,Ibalopheleleko labantu,Ubalo lwabantu/ubalo-bantu,Ukubalwa kwabantu,Mmalobatho/palobatho,Palasetjhaba,Palobatho ya baagi,Lubalo lwebantfu,Mbalavhathu / sentsasi,Nhlayelo wa vanhu
Natellingsfase,                        Population Census                                ,The stage of the census after all questionnaires have been administered and collected.,Post- enumeration phase,Isigaba sangemva kwebalo/kokubala,Isigaba esisemva kobalo,Isigaba esilandela ukubalwa kwabantu,Legato la ka morago ga palobatho/mmalobatho,Mokgahlelo ka mora ho bala,Kgato ya morago ga palobatho,Sigaba emva kwekubala,Luṱa/ḽiga thevhelambalavhathu,Nkarhi endzhaku ka nhlayelo wa vanhu
Natellingopname (NTO),                        Population Census                                ,A sample survey conducted immediately after the census to evaluate the census. Adjustments for undercount or overcount are then made to the census results based on the results of the PES.,Post-enumeration survey,Ihlolo yangemva kwebalo/kokubala,Uhlolo emva kobalo,Ucwaningo olulandela ukubalwa kwabantu,Tekolo ya ka morago ga palobatho/tekolo ya ka morago ga mmalobatho,Dipatlisiso ka mora ho bala,Tlhotlhomiso ya morago ga palobatho,Isaveyi emuva kwekubala,Tsedzuluso savei thevhelambavhathu,Mbalango endzhaku ka nhlayelo wa vanhu
Voortellingsfase,                        Population Census                                ,The stage of the census during which all preparatory work is carried out.,Pre-enumeration phase,Isigaba sangaphambi kwebalo/kokubala,Isigaba esandulela ubalo,Isigaba esandulela ukubalwa kwabantu,Legato la pele ga palobatho/legato la pele ga mmalobatho,Mokgahlelo wa pele ho balwa,Kgato ya pele ga palobatho,Sigaba ngembikwekubala,Luṱa/ḽiga thangelambalavhathu,Nkarhi wo rhangela nhlayelo wa vanhu
Verwantskap met huishoudingshoof of waarnemende huishoudingshoof,                       Population Census                               ,"Relationship through blood, marriage, adoption or other circumstance.",Relationship to the head or acting head of the household,Ubuhlobo nehloko yomuzi namkha nomjaphethe wehloko yomuzi,Ubudlelwane nentloko yomzi okanye nebambela-ntloko yomzi,Ubuhlobo nenhloko noma ibambanhloko yekhaya,Kamano le hlogo goba moswarelahlogo wa lapa,Dikamano le hlooho kapa motshwaredi wa hlooho ya lelapa,Kamano le tlhogo/kemeditlhogo ya lelapa,Kuhlobana nenhloko nobe libambelanhloko lelikhaya,Vhushaka kha ṱhoho kana ṱhohopfareli ya muṱa / haya,"Vuxaka exikarhi ka muhlayiwa na nhloko ya ndyangu kumbe mukhomeri wa nhloko ya ndyangu
"
Opgeloste geval,                       Population Census                               ,"A case, of a person, household or a questionnaire, where matching between the census and the post-enumeration survey is successful.",Resolved case,Umraro orarululiweko,Umba osonjululweyo,Ukuhambelana kokubala,Papetšo ye e atlegilego,Nyewe e rarolotsweng,Kgetse e e rarabolotsweng,Kuvumelana kwelubalo,Fhungoladzwa,Mhaka leyi lulamisiweke
Ondertelling,                       Population Census                               ,The number of people or households that were not counted in the census.,Undercount,Ibalongaphasi,Ukubala nganeno,Ukubalela nganeno,Palotlhaelelwa,Ba sa balellwang,Palelotlase,Kushiyeka,Mbalaṱhahedza,Nhlayelohansi
Onopgeloste geval,                       Population Census                               ,"A case, of a person, household or questionnaire, where matching between the census and the post-enumeration survey fails because of a lack of adequate information or because responses differ.",Unresolved case,Umraro ongakararululwa,Umba ongasonjululwanga,Ukungavumelani kobalo,Palo ye e sa atlegago,Nyewe e sa rarabollwang,Kgetse e e sa rarabololwang,Kungavumelani kwelubalo,Fhungo tshayandadzwa,Mhaka leyi nga lulamisiwangiki
Absolute armoedegrens,                             Poverty                                     ,That level of the standard of living measure below which a household is unable to meet its basic needs.,Absolute poverty line,Izinga lobuchaka bokugcina,Iqondo lendlala eligqithisileyo,Izinga eliphezulu lobuphofu/lobubha,Legatokgao la bodiididiidi,Moedi wa bofutsanafutse,Kemo ya lehumatota; boikaparitota,Labaphuye mbamba,Tshikalavhushai tsha vhukuma,Mpimo wa vusweti wa xiheri
Ontbindbare armoede-indeks (OAI),                             Poverty                                     ,Measure of the degree of inequality among the poor. Note: The DPI is considered conventional and measures the incidence of poverty and the degree of inequality among the poor using an aversion parameter and determines the proportionate decrease from the poverty line. It also shows the living standards and relates them to the population at large.,Decomposable poverty index (DPI or P₂),Ikomba yokutjhiyana kobuchaka(i-DPI namkha i-P2),Isalathiso sokwaphula amandla endlala (iDPI okanye i P2),Inkomba yezinga eliphezulu lobuphofu/lobubha (i-DPI nomaP2),Legatokgao la bodiididiidi,Tshupane ya maemo a bofutsana (DPI kapa P2),Tshupakemo ya lehuma,Kulinganisa lizinga lekungalingani lebuphuya,Tshikala tshayandinganelo ya vhushai (DPI kana P2),Xikombo xa vusweti xa nkandzingano
Bestedingsgaping-verhouding (BGV),                             Poverty                                     ,Measure that considers the degree of poverty and the extent to which expenditure of the poor lies below the poverty line.,Expenditure gap ratio (EGR),Iretjhiyo yokutjhiyana kweendleko (i-EGR),Umlinganiselo womsantsa wenkcitho (iEGR),Isilinganiso segebe lezindleko (i-EGR),Tekanyokelo ya magato a ditshenyagalelo,Tekanyo ya sekgeo sa ditshenyehelo,Sekgalakabo sa ditshenyegelo,Sichatsanisosibalo seligebe lenchitfo,Tshikhala tsha ndivhanele ya tshinyalelo (EGR),Mpimoxiave wa vangwa ra ntirhiso (MVN)
Gini-indeks,                             Poverty                                      ,"Index that shows how close a given distribution of income is to absolute equality or inequality. Note: The Gini coefficient is the ratio of the area between the 45-degree line and the Lorenz curve and the area of the entire triangle. As the coefficient approaches zero, the distribution of income or consumption approaches absolute equality, and absolute inequality if it approaches 1.",Gini index,Ikomba ka-Gini,Isalathiso seGini,Inkomba kaGini,Kelotšhupetšo ya Gini,Tshupane ya Gini,Tshupane ya ga Gini,Inkhomba yaGini,Tshikaladzhini,Xikombo xa Gini
